School Year,Division Number,Division Name,School Number,School Name,Total Count
2019-2020,71,Pittsylvania County ,1851,Twin Springs Elementary,              88
2019-2020,71,Pittsylvania County ,1740,Union Hall Elementary,              29
2019-2020,142,Poquoson City ,150,Poquoson Elementary,              56
2019-2020,142,Poquoson City ,10,Poquoson High,              78
2019-2020,142,Poquoson City ,130,Poquoson Middle,              46
2019-2020,142,Poquoson City ,160,Poquoson Primary,              56
2019-2020,121,Portsmouth City ,1766,Brighton Elementary ,              58
2019-2020,121,Portsmouth City ,321,Churchland Academy Elementary,             100
2019-2020,121,Portsmouth City ,650,Churchland Elementary,              60
2019-2020,121,Portsmouth City ,500,Churchland High,             177
2019-2020,121,Portsmouth City ,320,Churchland Middle,             109
2019-2020,121,Portsmouth City ,322,Churchland Preschool Center,              33
2019-2020,121,Portsmouth City ,160,Churchland Primary & Intermediate,              60
2019-2020,121,Portsmouth City ,1130,Cradock Middle,              81
2019-2020,121,Portsmouth City ,190,Douglass Park Elementary,              42
2019-2020,121,Portsmouth City ,1630,Hodges Manor Elementary,              44
2019-2020,121,Portsmouth City ,240,I.C. Norcom High,             193
2019-2020,121,Portsmouth City ,1400,James Hurst Elementary,              70
2019-2020,121,Portsmouth City ,230,John Tyler Elementary,              60
2019-2020,121,Portsmouth City ,1650,Lakeview Elementary,              69
2019-2020,121,Portsmouth City ,1768,Mount Hermon Preschool Center,              36
2019-2020,121,Portsmouth City ,1770,Olive Branch Preschool Center,              44
2019-2020,121,Portsmouth City ,60,Park View Elementary,              83
2019-2020,121,Portsmouth City ,290,Simonsdale Elementary,             100
2019-2020,121,Portsmouth City ,1769,Victory Elementary,              70
2019-2020,121,Portsmouth City ,210,Westhaven Elementary,              76
2019-2020,121,Portsmouth City ,310,William E. Waters Middle,              67
2019-2020,121,Portsmouth City ,1660,Woodrow Wilson High,             180
2019-2020,72,Powhatan County ,21,Flat Rock Elementary,             113
2019-2020,72,Powhatan County ,231,Pocahontas Elementary,              95
2019-2020,72,Powhatan County ,13,Powhatan Elementary,              57
2019-2020,72,Powhatan County ,11,Powhatan High,             182
2019-2020,72,Powhatan County ,130,Powhatan Middle,             136
2019-2020,73,Prince Edward County ,400,Prince Edward County High,              94
2019-2020,73,Prince Edward County ,10,Prince Edward Elementary,              92
2019-2020,73,Prince Edward County ,20,Prince Edward Middle,              70
2019-2020,74,Prince George County ,340,David A. Harrison Elementary,              86
2019-2020,74,Prince George County ,320,J.E.J. Moore Middle ,             202
2019-2020,74,Prince George County ,310,L.L. Beazley Elementary,              56
2019-2020,74,Prince George County ,290,North Elementary,             113
2019-2020,74,Prince George County ,20,Prince George High,             244
2019-2020,74,Prince George County ,300,South Elementary,              75
2019-2020,74,Prince George County ,280,William A. Walton Elementary,              86
2019-2020,75,Prince William County ,330,A. Henderson Elementary,              86
2019-2020,75,Prince William County ,760,Antietam Elementary,             120
2019-2020,75,Prince William County ,200,Ashland Elementary,             122
2019-2020,75,Prince William County ,290,Battlefield High ,             333
2019-2020,75,Prince William County ,670,Bel Air Elementary,              84
2019-2020,75,Prince William County ,600,Belmont Elementary,              79
2019-2020,75,Prince William County ,840,Bennett Elementary,              90
2019-2020,75,Prince William County ,530,Brentsville District High,             163
2019-2020,75,Prince William County ,860,Bristow Run Elementary,             105
2019-2020,75,Prince William County ,950,Buckland Mills Elementary,              64
2019-2020,75,Prince William County ,920,Bull Run Middle,             197
2019-2020,75,Prince William County ,620,C.A. Sinclair Elementary,              70
2019-2020,75,Prince William County ,710,C.D. Hylton High,             237
2019-2020,75,Prince William County ,900,Cedar Point Elementary,             110
2019-2020,75,Prince William County ,5010,Charles J. Colgan Sr. High,             310
2019-2020,75,Prince William County ,970,Chris Yung Elementary,              94
2019-2020,75,Prince William County ,660,Coles Elementary,              54
2019-2020,75,Prince William County ,309,Covington-Harper Elementary School,              99
2019-2020,75,Prince William County ,610,Dale City Elementary,              82
2019-2020,75,Prince William County ,280,Dumfries Elementary,              63
2019-2020,75,Prince William County ,490,E.H. Marsteller Middle,             169
2019-2020,75,Prince William County ,580,Elizabeth Vaughan Elementary,              65
2019-2020,75,Prince William County ,120,Enterprise Elementary,              47
2019-2020,75,Prince William County ,370,Fannie W. Fitzgerald Elementary,              93
2019-2020,75,Prince William County ,450,Featherstone Elementary,              47
2019-2020,75,Prince William County ,870,Forest Park High,             258
2019-2020,75,Prince William County ,520,Fred M. Lynn Middle,             202
2019-2020,75,Prince William County ,300,Freedom High ,             350
2019-2020,75,Prince William County ,490,Freedom Hill Elementary,<
2019-2020,75,Prince William County ,960,Gainesville Middle,             179
2019-2020,75,Prince William County ,690,Gar-Field High,             302
2019-2020,75,Prince William County ,630,George G. Tyler Elementary,              69
2019-2020,75,Prince William County ,640,George M. Hampton Middle,             137
2019-2020,75,Prince William County ,770,George P. Mullen Elementary,              94
2019-2020,75,Prince William County ,340,Glenkirk Elementary,             116
2019-2020,75,Prince William County ,510,Graham Park Middle,             137
2019-2020,75,Prince William County ,250,Haymarket Elementary School,             104
2019-2020,75,Prince William County ,380,Herbert J. Saunders Middle,             143
2019-2020,75,Prince William County ,220,J.W. Alvey Elementary,              80
2019-2020,75,Prince William County ,319,John D. Jenkins Elementary,              76
2019-2020,75,Prince William County ,130,John F. Pattie Sr. Elementary,             155
2019-2020,75,Prince William County ,70,Kerrydale Elementary,              51
2019-2020,75,Prince William County ,1761,Kilmer Center,<
2019-2020,75,Prince William County ,306,Kyle R. Wilson Elementary School,              99
2019-2020,75,Prince William County ,180,Lake Ridge Elementary,              83
2019-2020,75,Prince William County ,720,Lake Ridge Middle,             179
2019-2020,75,Prince William County ,830,Leesylvania Elementary,             114
2019-2020,75,Prince William County ,460,Loch Lomond Elementary,              79
2019-2020,75,Prince William County ,880,Louise A. Benton Middle,             174
2019-2020,75,Prince William County ,160,Martin Luther King Jr. Elementary,              43
2019-2020,75,Prince William County ,570,Marumsco Hills Elementary,              45
2019-2020,75,Prince William County ,231,Mary G. Porter Traditional,              48
2019-2020,75,Prince William County ,240,Mary Williams Elementary ,              99
2019-2020,75,Prince William County ,30,Minnieville Elementary,              85
2019-2020,75,Prince William County ,800,Montclair Elementary,              88
2019-2020,75,Prince William County ,810,Mountain View Elementary,              91
2019-2020,75,Prince William County ,700,Neabsco Elementary,              77
2019-2020,75,Prince William County ,260,Occoquan Elementary,              84
2019-2020,75,Prince William County ,820,Old Bridge Elementary,              74
2019-2020,75,Prince William County ,80,Osbourn Park High,             188
2019-2020,75,Prince William County ,501,Parkside Middle,             241
2019-2020,75,Prince William County ,1060,Patriot High,             349
2019-2020,75,Prince William County ,945,Pennington Elementary,              59
2019-2020,75,Prince William County ,110,Piney Branch Elementary,             109
2019-2020,75,Prince William County ,140,Potomac High,             315
2019-2020,75,Prince William County ,170,Potomac Middle,             200
2019-2020,75,Prince William County ,550,Potomac View Elementary,              48
2019-2020,75,Prince William County ,440,R. Dean Kilby Elementary,             110
2019-2020,75,Prince William County ,591,Rippon Middle,             161
2019-2020,75,Prince William County ,750,River Oaks Elementary,              53
2019-2020,75,Prince William County ,40,Rockledge Elementary,              58
2019-2020,75,Prince William County ,310,Ronald Wilson Reagan Middle,             133
2019-2020,75,Prince William County ,941,Rosa Parks Elementary,              99
2019-2020,75,Prince William County ,360,Samuel L. Gravely Jr. Elementary,             107
2019-2020,75,Prince William County ,730,Sharon C. McAuliffe Elementary,              85
2019-2020,75,Prince William County ,500,Signal Hill Elementary,             107
2019-2020,75,Prince William County ,850,Sonnie Penn Elementary,             111
2019-2020,75,Prince William County ,320,Springwoods Elementary,              78
2019-2020,75,Prince William County ,680,Stonewall Jackson High,             356
2019-2020,75,Prince William County ,480,Stonewall Middle,             169
2019-2020,75,Prince William County ,780,Stuart M. Beville Middle,             153
2019-2020,75,Prince William County ,20,Sudley Elementary,              76
2019-2020,75,Prince William County ,270,Suella G. Ellis Elementary,              69
2019-2020,75,Prince William County ,890,Swans Creek Elementary,              64
2019-2020,75,Prince William County ,470,T. Clay Wood Elementary,             101
2019-2020,75,Prince William County ,150,The Nokesville School,             150
2019-2020,75,Prince William County ,1371,Thomas Jefferson High for Science and Technology,<
2019-2020,75,Prince William County ,790,Thurgood Marshall Elementary,              82
2019-2020,75,Prince William County ,430,Triangle Elementary,             106
2019-2020,75,Prince William County ,390,Victory Elementary,             126
2019-2020,75,Prince William County ,540,West Gate Elementary,             117
2019-2020,75,Prince William County ,740,Westridge Elementary,              70
2019-2020,75,Prince William County ,190,Woodbine Pre-School Center,             115
2019-2020,75,Prince William County ,60,Woodbridge High,             310
2019-2020,75,Prince William County ,560,Woodbridge Middle,             167
2019-2020,75,Prince William County ,350,Yorkshire Elementary,              84
2019-2020,77,Pulaski County ,20,Critzer Elementary,              62
2019-2020,77,Pulaski County ,540,Dublin Elementary,              69
2019-2020,77,Pulaski County ,530,Dublin Middle,              71
2019-2020,77,Pulaski County ,10,Pulaski County Senior High,             200
2019-2020,77,Pulaski County ,230,Pulaski Elementary ,              92
2019-2020,77,Pulaski County ,460,Pulaski Middle,              76
2019-2020,77,Pulaski County ,500,Riverlawn Elementary,              51
2019-2020,77,Pulaski County ,430,Snowville Elementary,              21
2019-2020,122,Radford City ,10,Belle Heth Elementary,              61
2019-2020,122,Radford City ,42,John N. Dalton Intermediate,              37
2019-2020,122,Radford City ,20,McHarg Elementary,              65
2019-2020,122,Radford City ,41,Radford High,              56
2019-2020,78,Rappahannock County ,240,Rappahannock County Elementary,              67
2019-2020,78,Rappahannock County ,230,Rappahannock County High,              43
2019-2020,123,Richmond City ,30,Albert Hill Middle,              97
2019-2020,123,Richmond City ,220,Amelia County Elementary,<
2019-2020,123,Richmond City ,750,Amelia Street Special Education,              46
2019-2020,123,Richmond City ,850,Armstrong High ,             243
2019-2020,123,Richmond City ,390,Barack Obama Elementary,              29
2019-2020,123,Richmond City ,100,Bellevue Elementary,              32
2019-2020,123,Richmond City ,50,Binford Middle,              88
2019-2020,123,Richmond City ,170,Blackwell Elementary,              59
2019-2020,123,Richmond City ,1100,Broad Rock Elementary,              97
2019-2020,123,Richmond City ,830,Chimborazo Elementary,              46
2019-2020,123,Richmond City ,1440,E.S.H. Greene Elementary,              41
2019-2020,123,Richmond City ,1400,Elizabeth D. Redd Elementary,              47
2019-2020,123,Richmond City ,1631,Elkhardt Thompson Middle,             144
2019-2020,123,Richmond City ,710,Fairfield Court Elementary,              60
2019-2020,123,Richmond City ,630,Flatwoods Elementary,<
2019-2020,123,Richmond City ,621,Franklin Military Academy,              11
2019-2020,123,Richmond City ,1470,G.H. Reid Elementary,              66
2019-2020,123,Richmond City ,290,George Mason Elementary,             160
2019-2020,123,Richmond City ,311,George W. Carver Elementary,              55
2019-2020,123,Richmond City ,741,George Wythe High,             212
2019-2020,123,Richmond City ,230,Ginter Park Elementary,              47
2019-2020,123,Richmond City ,470,Henderson Middle,              77
2019-2020,123,Richmond City ,1510,Huguenot High,             193
2019-2020,123,Richmond City ,1640,J.B. Fisher Elementary,              49
2019-2020,123,Richmond City ,1710,J.L. Francis Elementary,              62
2019-2020,123,Richmond City ,600,John B. Cary Elementary,              54
2019-2020,123,Richmond City ,730,John Marshall High,             166
2019-2020,123,Richmond City ,3106,Linwood Holton Elementary,              82
2019-2020,123,Richmond City ,3105,Lucille M. Brown Middle,             129
2019-2020,123,Richmond City ,771,Martin Luther King Jr. Early Learning Center,              10
2019-2020,123,Richmond City ,770,Martin Luther King Jr. Middle ,             164
2019-2020,123,Richmond City ,580,Mary Munford Elementary,              51
2019-2020,123,Richmond City ,690,Maymont Pre-K Center,             121
2019-2020,123,Richmond City ,3107,Miles Jones Elementary,             111
2019-2020,123,Richmond City ,330,Oak Grove/Bellemeade Elementary,              95
2019-2020,123,Richmond City ,90,Open High,<
2019-2020,123,Richmond City ,130,Overby-Sheppard Elementary,              64
2019-2020,123,Richmond City ,3119,Patrick Henry School Of Science And Arts,              40
2019-2020,123,Richmond City ,3110,Richmond Alternative School,             106
2019-2020,123,Richmond City ,3200,Richmond Career Education and Employment (Charter School),              34
2019-2020,123,Richmond City ,452,Richmond Community High,<
2019-2020,123,Richmond City ,1480,Southampton Elementary,              68
2019-2020,123,Richmond City ,1191,Staunton River Middle,<
2019-2020,123,Richmond City ,511,Summer Hill Preschool Center,              10
2019-2020,123,Richmond City ,210,Swansboro Elementary,              32
2019-2020,123,Richmond City ,480,Thomas C. Boushall Middle,             117
2019-2020,123,Richmond City ,20,Thomas Jefferson High,             115
2019-2020,123,Richmond City ,660,Westover Hills Elementary,              57
2019-2020,123,Richmond City ,200,William Fox Elementary,              53
2019-2020,123,Richmond City ,650,Woodville Elementary,              51
2019-2020,79,Richmond County ,210,Rappahannock High,              58
2019-2020,79,Richmond County ,20,Richmond County Elementary,             112
2019-2020,124,Roanoke City ,280,Addison Aerospace Magnet Middle,             130
2019-2020,124,Roanoke City ,210,Breckinridge Middle,             102
2019-2020,124,Roanoke City ,20,Crystal Spring Elementary,              60
2019-2020,124,Roanoke City ,410,Fairview Elementary,              85
2019-2020,124,Roanoke City ,50,Fallon Park Elementary,             102
2019-2020,124,Roanoke City ,380,Fishburn Park Elementary,              62
2019-2020,124,Roanoke City ,300,Garden City Elementary,              70
2019-2020,124,Roanoke City ,310,Grandin Court Elementary,              41
2019-2020,124,Roanoke City ,110,Highland Park Elementary,              50
2019-2020,124,Roanoke City ,420,Hurt Park Elementary,              57
2019-2020,124,Roanoke City ,450,James Madison Middle,             100
2019-2020,124,Roanoke City ,230,John P. Fishwick Middle,              78
2019-2020,124,Roanoke City ,1761,Kilmer Center,<
2019-2020,124,Roanoke City ,340,Lincoln Terrace Elementary,              69
2019-2020,124,Roanoke City ,370,Monterey Elementary,              64
2019-2020,124,Roanoke City ,60,Morningside Elementary,              40
2019-2020,124,Roanoke City ,390,Patrick Henry High,             334
2019-2020,124,Roanoke City ,240,Preston Park Elementary,              70
2019-2020,124,Roanoke City ,220,Roanoke Academy For Mathematics & Science Elementary,             139
2019-2020,124,Roanoke City ,320,Round Hill Elementary,              96
2019-2020,124,Roanoke City ,70,Virginia Heights Elementary,              46
2019-2020,124,Roanoke City ,90,Wasena Elementary,              38
2019-2020,124,Roanoke City ,350,Westside Elementary,             134
2019-2020,124,Roanoke City ,400,William Fleming High,             260
2019-2020,124,Roanoke City ,150,Woodrow Wilson Middle,             106
2019-2020,80,Roanoke County ,420,Back Creek Elementary,              65
2019-2020,80,Roanoke County ,752,Bonsack Elementary,              56
2019-2020,80,Roanoke County ,180,Burlington Elementary,              89
2019-2020,80,Roanoke County ,560,Cave Spring Elementary,              84
2019-2020,80,Roanoke County ,470,Cave Spring High,             105
2019-2020,80,Roanoke County ,620,Cave Spring Middle,             116
2019-2020,80,Roanoke County ,330,Clearbrook Elementary,              60
2019-2020,80,Roanoke County ,40,Fort Lewis Elementary,              44
2019-2020,80,Roanoke County ,650,Glen Cove Elementary,              79
2019-2020,80,Roanoke County ,490,Glenvar Elementary,              58
2019-2020,80,Roanoke County ,610,Glenvar High,             104
2019-2020,80,Roanoke County ,751,Glenvar Middle,              87
2019-2020,80,Roanoke County ,600,Green Valley Elementary,              97
2019-2020,80,Roanoke County ,540,Herman L. Horn Elementary,              90
2019-2020,80,Roanoke County ,754,Hidden Valley High,              91
2019-2020,80,Roanoke County ,10,Hidden Valley Middle,              81
2019-2020,80,Roanoke County ,530,Mason's Cove Elementary,              83
2019-2020,80,Roanoke County ,290,Mount Pleasant Elementary,              60
2019-2020,80,Roanoke County ,500,Mountain View Elementary,              60
2019-2020,80,Roanoke County ,520,Northside High,             142
2019-2020,80,Roanoke County ,640,Northside Middle,             125
2019-2020,80,Roanoke County ,480,Oak Grove Elementary,              66
2019-2020,80,Roanoke County ,50,Penn Forest Elementary,              57
2019-2020,80,Roanoke County ,60,W.E. Cundiff Elementary,             105
2019-2020,80,Roanoke County ,630,William Byrd High,             180
2019-2020,80,Roanoke County ,232,William Byrd Middle,             137
2019-2020,81,Rockbridge County ,650,Central Elementary,              95
2019-2020,81,Rockbridge County ,150,Fairfield Elementary,              30
2019-2020,81,Rockbridge County ,678,Maury River Middle School,             105
2019-2020,81,Rockbridge County ,340,Mountain View Elementary,              21
2019-2020,81,Rockbridge County ,641,Natural Bridge Elementary,              39
2019-2020,81,Rockbridge County ,22,Rockbridge County High,              99
2019-2020,82,Rockingham County ,870,Broadway High,             103
2019-2020,82,Rockingham County ,861,Cub Run Elementary,              42
2019-2020,82,Rockingham County ,391,East Rockingham High,              94
2019-2020,82,Rockingham County ,400,Elkton Elementary,              41
2019-2020,82,Rockingham County ,900,Elkton Middle,              61
2019-2020,82,Rockingham County ,940,Fulks Run Elementary,<
2019-2020,82,Rockingham County ,960,J. Frank Hillyard Middle,              84
2019-2020,82,Rockingham County ,1071,John C. Myers Elementary,              67
2019-2020,82,Rockingham County ,970,John W. Wayland Elementary,              53
2019-2020,82,Rockingham County ,500,Lacey Spring Elementary,              24
2019-2020,82,Rockingham County ,360,Linville-Edom Elementary,              20
2019-2020,82,Rockingham County ,600,McGaheysville Elementary,              22
2019-2020,82,Rockingham County ,860,Montevideo Middle,              71
2019-2020,82,Rockingham County ,520,Mountain View Elementary,              38
2019-2020,82,Rockingham County ,920,Ottobine Elementary,              32
2019-2020,82,Rockingham County ,1073,Peak View Elementary,              33
2019-2020,82,Rockingham County ,10,Plains Elementary,              64
2019-2020,82,Rockingham County ,950,Pleasant Valley Elementary,              23
2019-2020,82,Rockingham County ,390,River Bend Elementary,              63
2019-2020,82,Rockingham County ,830,South River Elementary,              32
2019-2020,82,Rockingham County ,20,Spotswood High,             101
2019-2020,82,Rockingham County ,850,Turner Ashby High,              99
2019-2020,82,Rockingham County ,890,Wilbur S. Pence Middle,              63
2019-2020,83,Russell County ,580,Belfast Elementary,              17
2019-2020,83,Russell County ,792,Castlewood Elementary,              62
2019-2020,83,Russell County ,791,Castlewood High,              58
2019-2020,83,Russell County ,820,Copper Creek Elementary,              10
2019-2020,83,Russell County ,890,Honaker Elementary,              91
2019-2020,83,Russell County ,540,Honaker High,              60
2019-2020,83,Russell County ,410,Lebanon Elementary,              42
2019-2020,83,Russell County ,140,Lebanon High,              96
2019-2020,83,Russell County ,902,Lebanon Middle,              53
2019-2020,83,Russell County ,390,Lebanon Primary,              56
2019-2020,83,Russell County ,710,Swords Creek Elementary,<
2019-2020,139,Salem City ,100,Andrew Lewis Middle,             135
2019-2020,139,Salem City ,550,East Salem Elementary,             104
2019-2020,139,Salem City ,90,G.W. Carver Elementary,              83
2019-2020,139,Salem City ,70,Salem High,             167
2019-2020,139,Salem City ,580,South Salem Elementary,              64
2019-2020,139,Salem City ,460,West Salem Elementary,              69
2019-2020,84,Scott County ,750,Duffield-Pattonsville Primary,              70
2019-2020,84,Scott County ,42,Dungannon Intermediate,              13
2019-2020,84,Scott County ,102,Fort Blackmore Primary,              20
2019-2020,84,Scott County ,770,Gate City High,              88
2019-2020,84,Scott County ,771,Gate City Middle,              50
2019-2020,84,Scott County ,670,Hilton Elementary,              32
2019-2020,84,Scott County ,220,Nickelsville Elementary,              42
2019-2020,84,Scott County ,260,Rye Cove High,              46
2019-2020,84,Scott County ,20,Rye Cove Intermediate,              26
2019-2020,84,Scott County ,641,Shoemaker Elementary,             173
2019-2020,84,Scott County ,780,Twin Springs High,              45
2019-2020,84,Scott County ,740,Weber City Elementary,              53
2019-2020,84,Scott County ,790,Yuma Elementary,              26
2019-2020,85,Shenandoah County ,820,Ashby Lee Elementary,             100
2019-2020,85,Shenandoah County ,780,Central High,             112
2019-2020,85,Shenandoah County ,40,North Fork Middle,              52
2019-2020,85,Shenandoah County ,30,Peter Muhlenberg Middle,              86
2019-2020,85,Shenandoah County ,810,Sandy Hook Elementary,             118
2019-2020,85,Shenandoah County ,50,Signal Knob Middle,              57
2019-2020,85,Shenandoah County ,790,Stonewall Jackson High,             105
2019-2020,85,Shenandoah County ,770,Strasburg High,              70
2019-2020,85,Shenandoah County ,20,W.W. Robinson Elementary,             178
2019-2020,86,Smyth County ,290,Atkins Elementary,              38
2019-2020,86,Smyth County ,730,Chilhowie Elementary,              88
2019-2020,86,Smyth County ,460,Chilhowie High,              39
2019-2020,86,Smyth County ,851,Chilhowie Middle,              39
2019-2020,86,Smyth County ,710,Marion Elementary,              57
2019-2020,86,Smyth County ,680,Marion Middle,              68
2019-2020,86,Smyth County ,700,Marion Senior High,             100
2019-2020,86,Smyth County ,250,Northwood High,              45
2019-2020,86,Smyth County ,120,Northwood Middle,              30
2019-2020,86,Smyth County ,690,Oak Point Elementary,              98
2019-2020,86,Smyth County ,720,Rich Valley Elementary,              14
2019-2020,86,Smyth County ,740,Saltville Elementary,              29
2019-2020,86,Smyth County ,555,Sugar Grove Elementary,              23
2019-2020,87,Southampton County ,710,Capron Elementary,              26
2019-2020,87,Southampton County ,395,King's Fork High,<
2019-2020,87,Southampton County ,20,Meherrin Elementary,              39
2019-2020,87,Southampton County ,10,Nottoway Elementary,              23
2019-2020,87,Southampton County ,780,Riverdale Elementary,              78
2019-2020,87,Southampton County ,690,Southampton High,             101
2019-2020,87,Southampton County ,700,Southampton Middle,              92
2019-2020,88,Spotsylvania County ,10,Battlefield Elementary,              66
2019-2020,88,Spotsylvania County ,50,Battlefield Middle,             133
2019-2020,88,Spotsylvania County ,340,Berkeley Elementary,              54
2019-2020,88,Spotsylvania County ,400,Brock Road Elementary,             110
2019-2020,88,Spotsylvania County ,511,Cedar Forest Elementary,             105
2019-2020,88,Spotsylvania County ,40,Chancellor Elementary,              60
2019-2020,88,Spotsylvania County ,381,Chancellor High,             172
2019-2020,88,Spotsylvania County ,382,Chancellor Middle,             108
2019-2020,88,Spotsylvania County ,501,Courthouse Road Elementary,             143
2019-2020,88,Spotsylvania County ,22,Courtland Elementary,             105
2019-2020,88,Spotsylvania County ,20,Courtland High,             178
2019-2020,88,Spotsylvania County ,509,Freedom Middle,             123
2019-2020,88,Spotsylvania County ,507,Harrison Road Elementary,              94
2019-2020,88,Spotsylvania County ,30,Lee Hill Elementary,              85
2019-2020,88,Spotsylvania County ,350,Livingston Elementary,              45
2019-2020,88,Spotsylvania County ,506,Massaponax High,             244
2019-2020,88,Spotsylvania County ,505,Ni River Middle,             116
2019-2020,88,Spotsylvania County ,508,Parkside Elementary,             130
2019-2020,88,Spotsylvania County ,220,Post Oak Middle,             113
2019-2020,88,Spotsylvania County ,510,Riverbend High ,             229
2019-2020,88,Spotsylvania County ,503,Riverview Elementary,             141
2019-2020,88,Spotsylvania County ,130,Robert E. Lee Elementary,              68
2019-2020,88,Spotsylvania County ,60,Salem Elementary,             108
2019-2020,88,Spotsylvania County ,390,Smith Station Elementary,             126
2019-2020,88,Spotsylvania County ,360,Spotswood Elementary,              76
2019-2020,88,Spotsylvania County ,370,Spotsylvania High,             168
2019-2020,88,Spotsylvania County ,330,Spotsylvania Middle,             108
2019-2020,88,Spotsylvania County ,502,Thornburg Middle,              92
2019-2020,88,Spotsylvania County ,504,Wilderness Elementary,             154
2019-2020,89,Stafford County ,40,Andrew G. Wright Middle,             126
2019-2020,89,Stafford County ,260,Anne E. Moncure Elementary,              74
2019-2020,89,Stafford County ,433,Anthony Burns Elementary,              94
2019-2020,89,Stafford County ,421,Brooke Point High,             229
2019-2020,89,Stafford County ,424,Colonial Forge High,             217
2019-2020,89,Stafford County ,431,Conway Elementary,              87
2019-2020,89,Stafford County ,432,Donald B. Dixon-Lyle R. Smith Middle,             118
2019-2020,89,Stafford County ,10,Edward E. Drew Jr. Middle,              77
2019-2020,89,Stafford County ,280,Falmouth Elementary,              83
2019-2020,89,Stafford County ,230,Ferry Farm Elementary,              72
2019-2020,89,Stafford County ,41,Garrisonville Elementary,              84
2019-2020,89,Stafford County ,270,Grafton Village Elementary,              86
2019-2020,89,Stafford County ,422,H.H. Poole Middle,             127
2019-2020,89,Stafford County ,320,Hampton Oaks Elementary,              84
2019-2020,89,Stafford County ,250,Hartwood Elementary,              68
2019-2020,89,Stafford County ,427,Kate Waller Barrett Elementary,             108
2019-2020,89,Stafford County ,429,Margaret Brent Elementary ,              86
2019-2020,89,Stafford County ,430,Mountain View High ,             199
2019-2020,89,Stafford County ,30,North Stafford High,             258
2019-2020,89,Stafford County ,992,North Star Early Childhood Education Center,             114
2019-2020,89,Stafford County ,300,Park Ridge Elementary,              75
2019-2020,89,Stafford County ,920,Rising Star Early Childhood Education Center at Melchers,              97
2019-2020,89,Stafford County ,60,Rockhill Elementary,              95
2019-2020,89,Stafford County ,425,Rocky Run Elementary,             101
2019-2020,89,Stafford County ,426,Rodney E. Thompson Middle,             121
2019-2020,89,Stafford County ,440,Shirley C. Heim Middle,             123
2019-2020,89,Stafford County ,111,Stafford Elementary,              98
2019-2020,89,Stafford County ,112,Stafford Middle,             125
2019-2020,89,Stafford County ,20,Stafford Senior High,             260
2019-2020,89,Stafford County ,162,T. Benton Gayle Middle,             127
2019-2020,89,Stafford County ,50,Widewater Elementary,              82
2019-2020,89,Stafford County ,423,Winding Creek Elementary,              92
2019-2020,126,Staunton City ,40,Arthur R. Ware Elementary,              63
2019-2020,126,Staunton City ,70,Bessie Weller Elementary,              41
2019-2020,126,Staunton City ,110,Shelburne Middle,              90
2019-2020,126,Staunton City ,41,Staunton City School PreSchool Programs,              21
2019-2020,126,Staunton City ,30,Staunton High,             104
2019-2020,126,Staunton City ,90,Thomas C. McSwain Elementary,              47
2019-2020,127,Suffolk City ,50,Booker T. Washington Elementary,              43
2019-2020,127,Suffolk City ,397,Colonel Fred Cherry Middle School,              70
2019-2020,127,Suffolk City ,440,Creekside Elementary,              89
2019-2020,127,Suffolk City ,210,Elephant's Fork Elementary,              77
2019-2020,127,Suffolk City ,90,Florence Bowser Elementary,              83
2019-2020,127,Suffolk City ,390,Forest Glen Middle,              70
2019-2020,127,Suffolk City ,450,Hillpoint Elementary,              97
2019-2020,127,Suffolk City ,370,John F. Kennedy Middle,              84
2019-2020,127,Suffolk City ,380,John Yeates Middle,              60
2019-2020,127,Suffolk City ,230,Kilby Shores Elementary,              67
2019-2020,127,Suffolk City ,395,King's Fork High,             257
2019-2020,127,Suffolk City ,393,King's Fork Middle,             182
2019-2020,127,Suffolk City ,300,Lakeland High,             177
2019-2020,127,Suffolk City ,330,Mack Benn Jr. Elementary,              84
2019-2020,127,Suffolk City ,220,Nansemond Parkway Elementary,              63
2019-2020,127,Suffolk City ,240,Nansemond River High,             200
2019-2020,127,Suffolk City ,391,Northern Shores Elementary,              90
2019-2020,127,Suffolk City ,70,Oakland Elementary,              45
2019-2020,127,Suffolk City ,47,Pioneer Elementary,              55
2019-2020,90,Surry County ,30,Luther P. Jackson Middle,              48
2019-2020,90,Surry County ,10,Surry County High,              44
2019-2020,90,Surry County ,20,Surry Elementary,              54
2019-2020,91,Sussex County ,483,Sussex Central Elementary,              69
2019-2020,91,Sussex County ,340,Sussex Central High,              59
2019-2020,91,Sussex County ,482,Sussex Central Middle,              36
2019-2020,92,Tazewell County ,1020,Abb's Valley-Boissevain Elementary,              29
2019-2020,92,Tazewell County ,830,Cedar Bluff Elementary,              54
2019-2020,92,Tazewell County ,750,Dudley Primary,              48
2019-2020,92,Tazewell County ,940,Graham High,              50
2019-2020,92,Tazewell County ,960,Graham Intermediate,              36
2019-2020,92,Tazewell County ,10,Graham Middle,              58
2019-2020,92,Tazewell County ,822,Richlands Elementary,             140
2019-2020,92,Tazewell County ,821,Richlands High,             132
2019-2020,92,Tazewell County ,823,Richlands Middle,              74
2019-2020,92,Tazewell County ,890,Tazewell High,             111
2019-2020,92,Tazewell County ,450,Tazewell Intermediate,              49
2019-2020,92,Tazewell County ,100,Tazewell Middle,              79
2019-2020,92,Tazewell County ,1030,Tazewell Primary,              76
