School Year,Division Number,Division Name,School Number,School Name,Total Count
2020-2021,1,Accomack County ,701,Accawmacke Elementary,              61
2020-2021,1,Accomack County ,540,Arcadia High,              82
2020-2021,1,Accomack County ,704,Arcadia Middle ,              84
2020-2021,1,Accomack County ,80,Chincoteague Elementary,              32
2020-2021,1,Accomack County ,580,Chincoteague High,              39
2020-2021,1,Accomack County ,600,Kegotank Elementary,              94
2020-2021,1,Accomack County ,702,Metompkin Elementary,              81
2020-2021,1,Accomack County ,70,Nandua High,             107
2020-2021,1,Accomack County ,703,Nandua Middle,              75
2020-2021,1,Accomack County ,590,Pungoteague Elementary,              63
2020-2021,1,Accomack County ,530,Tangier Combined,<
2020-2021,2,Albemarle County ,160,Agnor-Hurt Elementary,              53
2020-2021,2,Albemarle County ,880,Albemarle High,             238
2020-2021,2,Albemarle County ,1053,Baker-Butler Elem,              87
2020-2021,2,Albemarle County ,100,Broadus Wood Elementary,              34
2020-2021,2,Albemarle County ,941,Brownsville Elementary,              69
2020-2021,2,Albemarle County ,340,Crozet Elementary,              38
2020-2021,2,Albemarle County ,10,Hollymead Elementary,              55
2020-2021,2,Albemarle County ,950,Jack Jouett Middle,              90
2020-2021,2,Albemarle County ,69,Jackson P. Burley Middle,             105
2020-2021,2,Albemarle County ,942,Joseph T. Henley Middle,              91
2020-2021,2,Albemarle County ,20,Leslie H. Walton Middle,              70
2020-2021,2,Albemarle County ,40,Mary Carr Greer Elementary,              70
2020-2021,2,Albemarle County ,250,Meriwether Lewis Elementary,              38
2020-2021,2,Albemarle County ,1052,Monticello High,             183
2020-2021,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,              63
2020-2021,2,Albemarle County ,150,Mountain View Elementary,              94
2020-2021,2,Albemarle County ,890,Murray School,              33
2020-2021,2,Albemarle County ,540,Red Hill Elementary,              32
2020-2021,2,Albemarle County ,30,Scottsville Elementary,              27
2020-2021,2,Albemarle County ,920,Stone Robinson Elementary,              71
2020-2021,2,Albemarle County ,240,Stony Point Elementary,              14
2020-2021,2,Albemarle County ,910,Virginia L. Murray Elementary,              32
2020-2021,2,Albemarle County ,140,Western Albemarle High,             134
2020-2021,2,Albemarle County ,930,Woodbrook Elementary,              68
2020-2021,101,Alexandria City ,1590,Canterbury Woods Elementary,<
2020-2021,101,Alexandria City ,120,Charles Barrett Elementary,              86
2020-2021,101,Alexandria City ,160,Cora Kelly School for Math Science and Technology,              58
2020-2021,101,Alexandria City ,110,Douglas Macarthur Elementary,              49
2020-2021,101,Alexandria City ,360,Early Childhood Center,              53
2020-2021,101,Alexandria City ,350,Ferdinand T. Day Elementary,              42
2020-2021,101,Alexandria City ,140,Francis C. Hammond Middle,             136
2020-2021,101,Alexandria City ,100,George Mason Elementary,              40
2020-2021,101,Alexandria City ,130,George Washington Middle,             187
2020-2021,101,Alexandria City ,220,James K. Polk Elementary,              77
2020-2021,101,Alexandria City ,90,Jefferson-Houston Elementary,             114
2020-2021,101,Alexandria City ,230,John Adams Elementary,              77
2020-2021,101,Alexandria City ,80,Lyles-Crouch Elementary,              46
2020-2021,101,Alexandria City ,60,Matthew Maury Elementary School,              37
2020-2021,101,Alexandria City ,30,Mount Vernon Elementary,              69
2020-2021,101,Alexandria City ,50,Patrick Henry Elementary,              75
2020-2021,101,Alexandria City ,333,Samuel W. Tucker Elementary,              70
2020-2021,101,Alexandria City ,210,T.C. Williams High School,             458
2020-2021,101,Alexandria City ,190,William Ramsay Elementary,              55
2020-2021,3,Alleghany County ,310,Alleghany High,              86
2020-2021,3,Alleghany County ,110,Callaghan Elementary,              23
2020-2021,3,Alleghany County ,1040,Clifton Middle,              66
2020-2021,3,Alleghany County ,1041,Mountain View Elementary,              81
2020-2021,3,Alleghany County ,61,Parry McCluer Middle School,<
2020-2021,3,Alleghany County ,90,Sharon Elementary,              33
2020-2021,4,Amelia County ,220,Amelia County Elementary,             105
2020-2021,4,Amelia County ,10,Amelia County High,              73
2020-2021,4,Amelia County ,210,Amelia County Middle,              49
2020-2021,5,Amherst County ,780,Amelon Elementary,              64
2020-2021,5,Amherst County ,750,Amherst County High,             156
2020-2021,5,Amherst County ,790,Amherst Elementary,              36
2020-2021,5,Amherst County ,670,Amherst Middle,              61
2020-2021,5,Amherst County ,480,Bedford Elementary,<
2020-2021,5,Amherst County ,770,Central Elementary,              80
2020-2021,5,Amherst County ,760,Elon Elementary,              53
2020-2021,5,Amherst County ,500,Madison Heights Elementary,              49
2020-2021,5,Amherst County ,20,Monelison Middle,              74
2020-2021,5,Amherst County ,740,Temperance Elementary,              11
2020-2021,6,Appomattox County ,260,Appomattox County High,              79
2020-2021,6,Appomattox County ,110,Appomattox Elementary,              53
2020-2021,6,Appomattox County ,160,Appomattox Middle,              51
2020-2021,6,Appomattox County ,250,Appomattox Primary,              76
2020-2021,7,Arlington County ,350,Abingdon Elementary,              97
2020-2021,7,Arlington County ,160,Alice West Fleet Elementary,              90
2020-2021,7,Arlington County ,618,Arlington Community High,<
2020-2021,7,Arlington County ,613,Arlington Science Focus,              54
2020-2021,7,Arlington County ,470,Arlington Traditional,              53
2020-2021,7,Arlington County ,490,Ashlawn Elementary,              88
2020-2021,7,Arlington County ,150,Barcroft Elementary,              61
2020-2021,7,Arlington County ,250,Barrett Elementary,             118
2020-2021,7,Arlington County ,615,Campbell Elementary,              76
2020-2021,7,Arlington County ,90,Carlin Springs Elementary,              82
2020-2021,7,Arlington County ,622,Claremont Immersion,              73
2020-2021,7,Arlington County ,626,Discovery Elementary,              83
2020-2021,7,Arlington County ,628,Dorothy Hamm Middle,             106
2020-2021,7,Arlington County ,200,Dr. Charles R. Drew Elementary,             106
2020-2021,7,Arlington County ,111,Francis Scott Key Elementary,              57
2020-2021,7,Arlington County ,100,Glebe Elementary,              68
2020-2021,7,Arlington County ,611,Gunston Middle,             165
2020-2021,7,Arlington County ,614,Hoffman-Boston Elementary,              74
2020-2021,7,Arlington County ,37,Integration Station,              29
2020-2021,7,Arlington County ,440,Jamestown Elementary,              79
2020-2021,7,Arlington County ,180,Jefferson Middle,             194
2020-2021,7,Arlington County ,500,Kenmore Middle,             235
2020-2021,7,Arlington County ,460,Long Branch Elementary,              60
2020-2021,7,Arlington County ,380,McKinley Elementary,              55
2020-2021,7,Arlington County ,627,Montessori Public School of Arlington,              43
2020-2021,7,Arlington County ,410,Nottingham Elementary,              57
2020-2021,7,Arlington County ,360,Oakridge Elementary,              56
2020-2021,7,Arlington County ,510,Randolph Elementary,              78
2020-2021,7,Arlington County ,240,Swanson Middle,             129
2020-2021,7,Arlington County ,420,Taylor Elementary,              76
2020-2021,7,Arlington County ,211,Tuckahoe Elementary,              56
2020-2021,7,Arlington County ,450,Wakefield High,             520
2020-2021,7,Arlington County ,80,Washington-Liberty High,             379
2020-2021,7,Arlington County ,480,Williamsburg Middle,             106
2020-2021,7,Arlington County ,330,Yorktown High,             404
2020-2021,8,Augusta County ,212,Beverley Manor Middle,              63
2020-2021,8,Augusta County ,660,Buffalo Gap High,              55
2020-2021,8,Augusta County ,30,Cassell Elementary,              72
2020-2021,8,Augusta County ,140,Churchville Elementary,              26
2020-2021,8,Augusta County ,370,Craigsville Elementary,              14
2020-2021,8,Augusta County ,842,Edward G. Clymore Elementary,              63
2020-2021,8,Augusta County ,670,Fort Defiance High,              72
2020-2021,8,Augusta County ,843,Guy K. Stump Elementary,              34
2020-2021,8,Augusta County ,40,North River Elementary,              15
2020-2021,8,Augusta County ,740,Riverheads Elementary,              58
2020-2021,8,Augusta County ,680,Riverheads High,              50
2020-2021,8,Augusta County ,90,S. Gordon Stewart Middle,              49
2020-2021,8,Augusta County ,440,Stuarts Draft Elementary,              45
2020-2021,8,Augusta County ,730,Stuarts Draft High,              78
2020-2021,8,Augusta County ,60,Stuarts Draft Middle,              58
2020-2021,8,Augusta County ,640,Wilson Elementary,              74
2020-2021,8,Augusta County ,720,Wilson Memorial High,              76
2020-2021,8,Augusta County ,844,Wilson Middle,              85
2020-2021,9,Bath County ,140,Bath County High,              22
2020-2021,9,Bath County ,120,Millboro Elementary,              28
2020-2021,9,Bath County ,150,Valley Elementary,              31
2020-2021,10,Bedford County ,480,Bedford Elementary,              34
2020-2021,10,Bedford County ,1200,Bedford Primary,              42
2020-2021,10,Bedford County ,30,Big Island Elementary,              17
2020-2021,10,Bedford County ,160,Boonsboro Elementary,              16
2020-2021,10,Bedford County ,770,Central Elementary,<
2020-2021,10,Bedford County ,500,Forest Elementary,              20
2020-2021,10,Bedford County ,1211,Forest Middle,              62
2020-2021,10,Bedford County ,1214,Goodview Elementary,              58
2020-2021,10,Bedford County ,980,Huddleston Elementary,              18
2020-2021,10,Bedford County ,1212,Jefferson Forest High,             172
2020-2021,10,Bedford County ,1180,Liberty High,             172
2020-2021,10,Bedford County ,490,Liberty Middle,              85
2020-2021,10,Bedford County ,970,Moneta Elementary,              14
2020-2021,10,Bedford County ,180,Montvale Elementary,              32
2020-2021,10,Bedford County ,610,New London Academy Elementary,              38
2020-2021,10,Bedford County ,1170,Otter River Elementary,              24
2020-2021,10,Bedford County ,1190,Staunton River High,             171
2020-2021,10,Bedford County ,1191,Staunton River Middle,              57
2020-2021,10,Bedford County ,640,Stewartsville Elementary,              47
2020-2021,10,Bedford County ,1213,Thomas Jefferson Elementary,              39
2020-2021,11,Bland County ,250,Bland County Elementary ,              64
2020-2021,11,Bland County ,260,Bland County High,              65
2020-2021,12,Botetourt County ,220,Breckinridge Elementary,              35
2020-2021,12,Botetourt County ,20,Buchanan Elementary,              67
2020-2021,12,Botetourt County ,420,Central Academy Middle,              54
2020-2021,12,Botetourt County ,390,Cloverdale Elementary,              28
2020-2021,12,Botetourt County ,400,Colonial Elementary,              83
2020-2021,12,Botetourt County ,30,Eagle Rock Elementary,              28
2020-2021,12,Botetourt County ,460,Greenfield Elementary,              83
2020-2021,12,Botetourt County ,430,James River High,              61
2020-2021,12,Botetourt County ,440,Lord Botetourt High,             101
2020-2021,12,Botetourt County ,450,Read Mountain Middle,              82
2020-2021,12,Botetourt County ,40,Troutville Elementary,              57
2020-2021,102,Bristol City ,60,Highland View Elementary,              50
2020-2021,102,Bristol City ,100,Joseph Van Pelt Elementary,             128
2020-2021,102,Bristol City ,70,Stonewall Jackson Elementary,              38
2020-2021,102,Bristol City ,80,Virginia High,              94
2020-2021,102,Bristol City ,10,Virginia Middle,              94
2020-2021,102,Bristol City ,90,Washington-Lee Elementary,              47
2020-2021,13,Brunswick County ,650,Brunswick High,              65
2020-2021,13,Brunswick County ,660,James S. Russell Middle,              46
2020-2021,13,Brunswick County ,690,Meherrin Powellton Elementary,              19
