LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,1900,Hoffman-Boston Elementary,510027001900,No,0,1,2,5,0,-8,2,-8,1,3,2,0,-8,0,10,6,6,2,-8,-8,6,2,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,1940,Campbell Elementary,510027001940,No,-8,0,1,7,0,-8,0,-8,3,1,4,0,-8,2,8,10,4,3,-8,1,6,5,0,0
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,2404,Claremont Immersion,510027002404,No,0,0,2,11,1,-8,1,0,0,0,24,1,-8,5,15,30,3,4,2,-8,8,13,-8,2
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,2875,Arlington Community High,510027002875,No,1,3,3,54,-8,-8,3,1,1,2,42,-8,-8,1,64,47,2,1,2,1,61,44,-8,2
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,3006,Discovery Elementary,510027003006,No,-8,1,0,0,0,-8,3,-8,0,1,2,0,-8,4,4,7,3,2,-8,1,0,0,-8,-8
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,117,Buffalo Gap High,510030000117,No,-8,-8,0,0,0,-8,35,-8,-8,0,1,2,-8,46,35,49,3,5,-8,2,-8,-8,0,3
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,118,Cassell Elementary,510030000118,No,-8,0,0,1,0,-8,29,0,0,0,1,1,-8,19,30,21,11,2,-8,-8,0,1,1,2
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,119,Churchville Elementary,510030000119,No,-8,-8,1,0,0,-8,19,-8,-8,0,0,1,-8,15,20,16,2,2,-8,3,-8,0,0,0
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,120,Craigsville Elementary,510030000120,No,-8,-8,-8,1,1,-8,8,0,-8,0,2,1,-8,5,10,8,1,1,1,-8,-8,-8,-8,-8
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,124,Fort Defiance High,510030000124,No,0,0,0,2,0,-8,37,-8,0,0,1,2,-8,30,39,33,4,3,2,1,1,1,1,0
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,127,North River Elementary,510030000127,No,-8,-8,1,1,0,-8,9,-8,-8,0,0,0,-8,11,11,11,1,2,-8,-8,0,0,0,0
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,128,Riverheads Elementary,510030000128,No,0,2,3,1,2,-8,33,-8,0,2,0,3,-8,36,41,41,7,2,-8,1,1,0,0,2
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,129,Riverheads High,510030000129,No,0,0,0,0,0,0,26,0,0,0,0,1,-8,26,26,27,4,1,1,1,0,1,-8,0
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,130,Stuarts Draft Middle,510030000130,No,0,0,0,1,2,0,35,-8,0,0,3,1,0,22,38,26,7,3,5,1,0,0,0,0
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,131,Stuarts Draft Elementary,510030000131,No,-8,0,2,3,3,0,30,-8,1,1,0,0,-8,16,38,18,5,3,2,2,0,1,2,0
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,132,Stuarts Draft High,510030000132,No,1,0,2,3,2,-8,62,-8,0,0,3,1,0,38,70,42,5,6,3,4,1,1,1,0
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,137,Wilson Elementary,510030000137,No,0,0,1,5,2,-8,12,0,0,2,1,2,0,11,20,16,3,1,1,2,3,0,0,0
